"player_name","player_state","total_num_of_points","player_pre_rating","average_pre_chess_rating_of_opponent"
" GARY HUA                        ","   ON ","6.0  ",1794,1067.14285714286
" DAKSHESH DARURI                 ","   MI ","6.0  ",1553,1122
" ADITYA BAJAJ                    ","   MI ","6.0  ",1384,1197.42857142857
" PATRICK H SCHILLING             ","   MI ","5.5  ",1716,1016.71428571429
" HANSHI ZUO                      ","   MI ","5.5  ",1655,1121.14285714286
" HANSEN SONG                     ","   OH ","5.0  ",1686,979.571428571429
" GARY DEE SWATHELL               ","   MI ","5.0  ",1649,1232.71428571429
" EZEKIEL HOUGHTON                ","   MI ","5.0  ",1641,1024.42857142857
" STEFANO LEE                     ","   ON ","5.0  ",1411,1048.28571428571
" ANVIT RAO                       ","   MI ","5.0  ",1365,1016.85714285714
" CAMERON WILLIAM MC LEMAN        ","   MI ","4.5  ",1712,1088.71428571429
" KENNETH J TACK                  ","   MI ","4.5  ",1663,1098.33333333333
" TORRANCE HENRY JR               ","   MI ","4.5  ",1666,1013.28571428571
" BRADLEY SHAW                    ","   MI ","4.5  ",1610,1078
" ZACHARY JAMES HOUGHTON          ","   MI ","4.5  ",1220,989.285714285714
" MIKE NIKITIN                    ","   MI ","4.0  ",1604,1060.4
" RONALD GRZEGORCZYK              ","   MI ","4.0  ",1629,1051.14285714286
" DAVID SUNDEEN                   ","   MI ","4.0  ",1600,1090
" DIPANKAR ROY                    ","   MI ","4.0  ",1564,1066
" JASON ZHENG                     ","   MI ","4.0  ",1595,1075.42857142857
" DINH DANG BUI                   ","   ON ","4.0  ",1563,1131.14285714286
" EUGENE L MCCLURE                ","   MI ","4.0  ",1555,996
" ALAN BUI                        ","   ON ","4.0  ",1363,1072.14285714286
" MICHAEL R ALDRICH               ","   MI ","4.0  ",1229,1082.85714285714
" LOREN SCHWIEBERT                ","   MI ","3.5  ",1745,1105.14285714286
" MAX ZHU                         ","   ON ","3.5  ",1579,1094.71428571429
" GAURAV GIDWANI                  ","   MI ","3.5  ",1552,1150.66666666667
" SOFIA ADINA STANESCU-BELLU      ","   MI ","3.5  ",1507,1014.14285714286
" CHIEDOZIE OKORIE                ","   MI ","3.5  ",1602,1116.16666666667
" GEORGE AVERY JONES              ","   ON ","3.5  ",1522,1111.14285714286
" RISHI SHETTY                    ","   MI ","3.5  ",1494,1092
" JOSHUA PHILIP MATHEWS           ","   ON ","3.5  ",1441,1177.85714285714
" JADE GE                         ","   MI ","3.5  ",1449,1174.14285714286
" MICHAEL JEFFERY THOMAS          ","   MI ","3.5  ",1399,1075.85714285714
" JOSHUA DAVID LEE                ","   MI ","3.5  ",1438,1183.85714285714
" SIDDHARTH JHA                   ","   MI ","3.5  ",1355,1118.5
" AMIYATOSH PWNANANDAM            ","   MI ","3.5  ",980,1058.6
" BRIAN LIU                       ","   MI ","3.0  ",1423,1005
" JOEL R HENDON                   ","   MI ","3.0  ",1436,1069
" FOREST ZHANG                    ","   MI ","3.0  ",1348,1053.42857142857
" KYLE WILLIAM MURPHY             ","   MI ","3.0  ",1403,1112.5
" JARED GE                        ","   MI ","3.0  ",1332,1214.14285714286
" ROBERT GLEN VASEY               ","   MI ","3.0  ",1283,1141
" JUSTIN D SCHILLING              ","   MI ","3.0  ",1199,1064.5
" DEREK YAN                       ","   MI ","3.0  ",1242,1260.28571428571
" JACOB ALEXANDER LAVALLEY        ","   MI ","3.0  ",377,1016.14285714286
" ERIC WRIGHT                     ","   MI ","2.5  ",1362,1087.14285714286
" DANIEL KHAIN                    ","   MI ","2.5  ",1382,1060.8
" MICHAEL J MARTIN                ","   MI ","2.5  ",1291,1081.2
" SHIVAM JHA                      ","   MI ","2.5  ",1056,953.5
" TEJAS AYYAGARI                  ","   MI ","2.5  ",1011,1025.71428571429
" ETHAN GUO                       ","   MI ","2.5  ",935,945
" JOSE C YBARRA                   ","   MI ","2.0  ",1393,1130
" LARRY HODGE                     ","   MI ","2.0  ",1270,1100
" ALEX KONG                       ","   MI ","2.0  ",1186,1086.5
" MARISA RICCI                    ","   MI ","2.0  ",1153,1085.8
" MICHAEL LU                      ","   MI ","2.0  ",1092,1076.83333333333
" VIRAJ MOHILE                    ","   MI ","2.0  ",917,1069
" SEAN M MC CORMICK               ","   MI ","2.0  ",853,1131.66666666667
" JULIA SHEN                      ","   MI ","1.5  ",967,1009.2
" JEZZEL FARKAS                   ","   ON ","1.5  ",955,1040.14285714286
" ASHWIN BALAJI                   ","   MI ","1.0  ",1530,1270
" THOMAS JOSEPH HOSMER            ","   MI ","1.0  ",1175,1149.4
" BEN LI                          ","   MI ","1.0  ",1163,1041.42857142857
